English,Maths,Science,School,Area
53.6,52.0,68.1,Ainsdale St John's CofE Primary School,Ainsdale
41.1,65.1,47.4,Ainsdale St John's CofE Primary School,Ainsdale
50.0,74.6,64.7,Ainsdale St John's CofE Primary School,Ainsdale
71.9,50.6,59.2,Ainsdale St John's CofE Primary School,Ainsdale
58.3,58.4,50.6,Ainsdale St John's CofE Primary School,Ainsdale
49.2,50.4,51.2,Ainsdale St John's CofE Primary School,Ainsdale
39.7,81.1,48.6,Ainsdale St John's CofE Primary School,Ainsdale
35.8,41.6,80.8,Ainsdale St John's CofE Primary School,Ainsdale
59.6,63.4,65.6,Ainsdale St John's CofE Primary School,Ainsdale
63.9,53.8,49.2,Ainsdale St John's CofE Primary School,Ainsdale
62.1,47.3,43.1,Ainsdale St John's CofE Primary School,Ainsdale
44.9,35.6,30.0,Ainsdale St John's CofE Primary School,Ainsdale
68.4,57.4,68.4,Ainsdale St John's CofE Primary School,Ainsdale
78.3,61.7,45.0,Ainsdale St John's CofE Primary School,Ainsdale
48.5,42.7,61.7,Ainsdale St John's CofE Primary School,Ainsdale
64.9,66.8,29.5,Ainsdale St John's CofE Primary School,Ainsdale
53.0,45.7,44.5,Ainsdale St John's CofE Primary School,Ainsdale
48.1,56.6,44.8,Ainsdale St John's CofE Primary School,Ainsdale
63.7,48.6,75.6,Ainsdale St John's CofE Primary School,Ainsdale
58.2,42.1,73.4,Ainsdale St John's CofE Primary School,Ainsdale
56.0,24.2,51.0,Ainsdale St John's CofE Primary School,Ainsdale
68.6,61.9,55.4,Ainsdale St John's CofE Primary School,Ainsdale
52.8,53.6,66.1,Ainsdale St John's CofE Primary School,Ainsdale
59.9,48.2,60.8,Ainsdale St John's CofE Primary School,Ainsdale
41.7,53.7,62.1,Ainsdale St John's CofE Primary School,Ainsdale
41.3,74.2,87.3,Ainsdale St John's CofE Primary School,Ainsdale
34.6,33.0,71.6,Ainsdale St John's CofE Primary School,Ainsdale
63.6,60.3,53.5,Ainsdale St John's CofE Primary School,Ainsdale
49.7,59.7,43.1,Ainsdale St John's CofE Primary School,Ainsdale
54.5,57.0,40.3,Ainsdale St John's CofE Primary School,Ainsdale
51.7,58.5,53.8,Ainsdale St John's CofE Primary School,Ainsdale
50.2,81.2,44.7,Ainsdale St John's CofE Primary School,Ainsdale
73.6,43.7,61.7,Ainsdale St John's CofE Primary School,Ainsdale
58.1,41.7,45.5,Ainsdale St John's CofE Primary School,Ainsdale
55.4,43.3,51.8,Ainsdale St John's CofE Primary School,Ainsdale
79.0,53.8,57.6,Ainsdale St John's CofE Primary School,Ainsdale
48.3,51.7,34.7,Ainsdale St John's CofE Primary School,Ainsdale
55.6,43.5,51.1,Ainsdale St John's CofE Primary School,Ainsdale
51.8,43.6,51.7,Ainsdale St John's CofE Primary School,Ainsdale
48.6,64.3,47.5,Ainsdale St John's CofE Primary School,Ainsdale
68.0,43.7,50.5,Ainsdale St John's CofE Primary School,Ainsdale
38.8,52.5,51.3,Ainsdale St John's CofE Primary School,Ainsdale
47.2,39.5,64.8,Ainsdale St John's CofE Primary School,Ainsdale
57.0,69.9,51.5,Ainsdale St John's CofE Primary School,Ainsdale
71.9,69.3,64.9,Aintree Davenhill Primary School,Aintree Village
75.5,51.5,43.1,Aintree Davenhill Primary School,Aintree Village
66.0,59.8,48.6,Aintree Davenhill Primary School,Aintree Village
54.9,66.7,67.4,Aintree Davenhill Primary School,Aintree Village
76.0,68.9,59.0,Aintree Davenhill Primary School,Aintree Village
58.7,51.5,63.2,Aintree Davenhill Primary School,Aintree Village
46.5,72.5,51.1,Aintree Davenhill Primary School,Aintree Village
49.4,60.0,54.6,Aintree Davenhill Primary School,Aintree Village
62.5,52.6,81.1,Aintree Davenhill Primary School,Aintree Village
78.9,66.1,64.6,Aintree Davenhill Primary School,Aintree Village
73.5,74.3,29.1,Aintree Davenhill Primary School,Aintree Village
0.0,70.8,64.2,Aintree Davenhill Primary School,Aintree Village
58.6,57.5,73.5,Aintree Davenhill Primary School,Aintree Village
62.1,51.0,47.8,Aintree Davenhill Primary School,Aintree Village
67.3,64.7,44.7,Aintree Davenhill Primary School,Aintree Village
59.3,66.0,59.4,Aintree Davenhill Primary School,Aintree Village
48.8,63.6,57.2,Aintree Davenhill Primary School,Aintree Village
52.4,44.8,43.3,Aintree Davenhill Primary School,Aintree Village
56.4,45.6,52.2,Aintree Davenhill Primary School,Aintree Village
73.7,59.2,52.7,Aintree Davenhill Primary School,Aintree Village
39.4,50.7,53.9,Aintree Davenhill Primary School,Aintree Village
59.0,68.3,38.5,Aintree Davenhill Primary School,Aintree Village
60.4,65.7,58.2,Aintree Davenhill Primary School,Aintree Village
44.5,84.2,67.6,Aintree Davenhill Primary School,Aintree Village
54.8,56.9,79.3,Aintree Davenhill Primary School,Aintree Village
55.3,44.7,76.5,Aintree Davenhill Primary School,Aintree Village
45.3,73.4,81.4,Aintree Davenhill Primary School,Aintree Village
81.5,63.0,51.7,Aintree Davenhill Primary School,Aintree Village
76.3,74.0,58.0,Aintree Davenhill Primary School,Aintree Village
73.5,70.6,57.0,Aintree Davenhill Primary School,Aintree Village
71.7,46.9,80.7,Aintree Davenhill Primary School,Aintree Village
63.9,56.0,78.8,Aintree Davenhill Primary School,Aintree Village
77.9,45.2,51.3,Aintree Davenhill Primary School,Aintree Village
99.0,46.5,69.8,Aintree Davenhill Primary School,Aintree Village
87.3,65.3,87.1,Aintree Davenhill Primary School,Aintree Village
38.4,55.0,80.9,Aintree Davenhill Primary School,Aintree Village
43.6,55.7,68.0,Aintree Davenhill Primary School,Aintree Village
62.7,67.8,60.1,All Saints Catholic Primary School,Anfield
55.3,75.8,69.5,All Saints Catholic Primary School,Anfield
46.6,65.6,55.9,All Saints Catholic Primary School,Anfield
61.3,68.4,85.2,All Saints Catholic Primary School,Anfield
41.8,76.1,80.4,All Saints Catholic Primary School,Anfield
43.0,65.1,73.1,All Saints Catholic Primary School,Anfield
76.9,57.4,66.1,All Saints Catholic Primary School,Anfield
75.7,49.9,77.7,All Saints Catholic Primary School,Anfield
74.7,72.2,65.0,All Saints Catholic Primary School,Anfield
59.0,57.3,47.9,All Saints Catholic Primary School,Anfield
61.9,64.6,68.7,All Saints Catholic Primary School,Anfield
67.6,82.7,44.3,All Saints Catholic Primary School,Anfield
57.0,66.6,61.0,All Saints Catholic Primary School,Anfield
60.0,74.3,61.2,All Saints Catholic Primary School,Anfield
49.7,80.3,70.4,All Saints Catholic Primary School,Anfield
62.6,76.0,83.9,All Saints Catholic Primary School,Anfield
91.9,83.7,70.9,All Saints Catholic Primary School,Anfield
63.2,64.3,74.8,All Saints Catholic Primary School,Anfield
72.2,72.0,72.6,All Saints Catholic Primary School,Anfield
87.9,67.9,70.4,All Saints Catholic Primary School,Anfield
60.1,69.0,41.3,All Saints Catholic Primary School,Anfield
53.0,65.6,54.9,All Saints Catholic Primary School,Anfield
93.5,53.9,78.1,All Saints Catholic Primary School,Anfield
62.4,69.7,91.5,All Saints Catholic Primary School,Anfield
67.0,67.9,64.7,All Saints Catholic Primary School,Anfield
42.1,67.7,54.5,All Saints Catholic Primary School,Anfield
68.0,48.7,58.5,All Saints Catholic Primary School,Anfield
68.8,70.0,63.0,All Saints Catholic Primary School,Anfield
80.0,53.0,85.5,All Saints Catholic Primary School,Anfield
91.2,51.9,80.5,All Saints Catholic Primary School,Anfield
33.8,76.7,71.5,Allanson Street Primary School,Parr
70.4,55.2,55.1,Allanson Street Primary School,Parr
57.2,64.4,41.2,Allanson Street Primary School,Parr
54.7,63.0,35.9,Allanson Street Primary School,Parr
74.4,52.0,59.5,Allanson Street Primary School,Parr
47.5,42.0,63.8,Allanson Street Primary School,Parr
51.4,53.9,58.2,Allanson Street Primary School,Parr
55.9,34.2,55.1,Allanson Street Primary School,Parr
39.6,51.9,50.3,Allanson Street Primary School,Parr
65.7,68.0,53.5,Allanson Street Primary School,Parr
53.6,52.6,63.0,Allanson Street Primary School,Parr
63.2,46.9,68.2,Allanson Street Primary School,Parr
45.8,66.8,41.6,Allanson Street Primary School,Parr
64.4,53.9,60.0,Allanson Street Primary School,Parr
77.5,37.8,55.0,Allanson Street Primary School,Parr
50.8,62.2,52.8,Allanson Street Primary School,Parr
60.1,46.5,34.6,Allanson Street Primary School,Parr
52.8,49.9,28.5,Allanson Street Primary School,Parr
71.4,52.7,48.5,Allanson Street Primary School,Parr
58.4,49.8,47.5,Allanson Street Primary School,Parr
56.7,44.4,61.6,Allanson Street Primary School,Parr
62.2,55.5,62.5,Allanson Street Primary School,Parr
61.7,54.1,70.5,Allanson Street Primary School,Parr
56.8,72.8,45.1,Allanson Street Primary School,Parr
63.0,55.4,55.2,Allanson Street Primary School,Parr
47.8,54.5,52.2,Allanson Street Primary School,Parr
40.0,52.5,31.4,Allanson Street Primary School,Parr
35.1,61.9,54.1,Allanson Street Primary School,Parr
51.5,43.1,80.0,Allanson Street Primary School,Parr
46.0,60.7,56.7,Allanson Street Primary School,Parr
46.2,34.8,19.0,Allanson Street Primary School,Parr
67.2,58.0,55.6,Allanson Street Primary School,Parr
34.9,59.6,73.6,Allanson Street Primary School,Parr
64.1,72.7,71.5,Allanson Street Primary School,Parr
59.5,61.9,24.2,Allanson Street Primary School,Parr
50.6,39.3,64.0,Allanson Street Primary School,Parr
65.3,46.4,47.7,Allanson Street Primary School,Parr
46.0,52.2,58.4,Allanson Street Primary School,Parr
49.1,42.3,45.4,Allanson Street Primary School,Parr
47.9,62.5,35.4,Allanson Street Primary School,Parr
80.5,53.4,74.2,Allanson Street Primary School,Parr
63.6,50.6,39.4,Allanson Street Primary School,Parr
30.5,55.2,38.8,Allanson Street Primary School,Parr
47.8,61.8,40.4,Allanson Street Primary School,Parr
56.6,42.7,73.5,Allanson Street Primary School,Parr
42.3,45.6,46.4,Allanson Street Primary School,Parr
58.9,58.7,58.2,Allanson Street Primary School,Parr
58.1,31.6,73.8,Anfield Road Primary School,Liverpool
44.1,40.4,59.1,Anfield Road Primary School,Liverpool
38.8,53.7,43.1,Anfield Road Primary School,Liverpool
50.3,46.2,50.6,Anfield Road Primary School,Liverpool
63.4,60.1,50.5,Anfield Road Primary School,Liverpool
80.0,64.6,33.5,Anfield Road Primary School,Liverpool
21.1,58.3,68.6,Anfield Road Primary School,Liverpool
40.3,53.2,67.0,Anfield Road Primary School,Liverpool
57.2,51.0,51.3,Anfield Road Primary School,Liverpool
40.1,55.8,55.4,Anfield Road Primary School,Liverpool
59.3,59.2,54.1,Anfield Road Primary School,Liverpool
54.4,35.2,64.1,Anfield Road Primary School,Liverpool
73.2,34.3,63.8,Anfield Road Primary School,Liverpool
53.7,40.8,69.2,Anfield Road Primary School,Liverpool
49.6,60.2,59.1,Anfield Road Primary School,Liverpool
46.9,54.8,54.1,Anfield Road Primary School,Liverpool
0.0,49.6,61.3,Anfield Road Primary School,Liverpool
60.1,60.9,68.9,Anfield Road Primary School,Liverpool
21.8,55.1,59.1,Anfield Road Primary School,Liverpool
0.0,37.2,52.4,Anfield Road Primary School,Liverpool
51.0,79.1,49.4,Anfield Road Primary School,Liverpool
60.6,71.7,43.3,Anfield Road Primary School,Liverpool
8.0,40.8,57.6,Anfield Road Primary School,Liverpool
46.4,66.9,39.0,Anfield Road Primary School,Liverpool
84.3,66.9,49.3,Anfield Road Primary School,Liverpool
45.0,68.7,54.1,Anfield Road Primary School,Liverpool
39.7,77.7,58.4,Anfield Road Primary School,Liverpool
40.8,37.6,60.6,Anfield Road Primary School,Liverpool
62.1,44.7,47.7,Anfield Road Primary School,Liverpool
59.2,36.5,52.0,Anfield Road Primary School,Liverpool
26.2,36.1,60.3,Anfield Road Primary School,Liverpool
37.3,70.6,35.5,Anfield Road Primary School,Liverpool
53.0,29.6,47.5,Anfield Road Primary School,Liverpool
62.7,36.8,54.4,Anfield Road Primary School,Liverpool
28.5,29.7,45.8,Anfield Road Primary School,Liverpool
32.4,35.8,48.8,Anfield Road Primary School,Liverpool
53.4,31.3,50.9,Anfield Road Primary School,Liverpool
38.6,38.7,59.2,Anfield Road Primary School,Liverpool
58.5,34.0,57.7,Anfield Road Primary School,Liverpool
46.1,72.9,76.8,Anfield Road Primary School,Liverpool
